Sample 473: No. iterations = 136, Error = 0.00066919
Sample 474: No. iterations = 90, Error = 0.000307185
Sample 475: No. iterations = 72, Error = 0.000663637
Sample 476: No. iterations = 107, Error = 0.000287497
Sample 477: No. iterations = 115, Error = 0.00077495
Sample 478: No. iterations = 5, Error = 0.000244236
Sample 479: No. iterations = 63, Error = 0.000944619
Sample 480: No. iterations = 43, Error = 0.000129322
Sample 481: No. iterations = 120, Error = 0.000977057
Sample 482: No. iterations = 61, Error = 0.000434722
Sample 483: No. iterations = 98, Error = 0.000577636
Sample 484: No. iterations = 110, Error = 0.000874889
Sample 485: No. iterations = 5, Error = 0.000702634
Sample 486: No. iterations = 125, Error = 0.000414069
Sample 487: No. iterations = 36, Error = 0.0004469
Sample 488: No. iterations = 93, Error = 0.000998089
Sample 489: No. iterations = 195, Error = 0.00097354
Sample 490: No. iterations = 135, Error = 0.000926539
Sample 491: No. iterations = 1, Error = 0.000638925
Sample 492: No. iterations = 139, Error = 0.000829716
Sample 493: No. iterations = 2, Error = 5.20831e-05
Sample 494: No. iterations = 51, Error = 0.000880046
Sample 495: No. iterations = 158, Error = 0.000304938
Sample 496: No. iterations = 56, Error = 0.000575516
Sample 497: No. iterations = 146, Error = 0.000741955
Sample 498: No. iterations = 205, Error = 0.000521156
Sample 499: No. iterations = 2, Error = 0.000123144
Sample 500: No. iterations = 119, Error = 0.000879898
Sample 501: No. iterations = 168, Error = 0.000615757
Sample 502: No. iterations = 131, Error = 0.000992301
Sample 503: No. iterations = 237, Error = 0.000966162
Sample 504: No. iterations = 193, Error = 0.000831482
Sample 505: No. iterations = 47, Error = 0.00070356
Sample 506: No. iterations = 31, Error = 0.0008571
Sample 507: No. iterations = 47, Error = 0.000556846
Sample 508: No. iterations = 88, Error = 0.000384214
Sample 509: No. iterations = 82, Error = 0.0008934
Sample 510: No. iterations = 512, Error = 0.000823442
Sample 511: No. iterations = 2, Error = 0.000604049
Sample 512: No. iterations = 84, Error = 0.000921787
Sample 513: No. iterations = 93, Error = 0.000667572
Sample 514: No. iterations = 1, Error = 0.000993492
Sample 515: No. iterations = 32, Error = 0.000687101
Sample 516: No. iterations = 144, Error = 0.000803926
Sample 517: No. iterations = 84, Error = 0.000930783
Sample 518: No. iterations = 123, Error = 0.000991869
Sample 519: No. iterations = 121, Error = 0.000575685
Sample 520: No. iterations = 183, Error = 0.000672141
Sample 521: No. iterations = 47, Error = 0.000587338
Sample 522: No. iterations = 59, Error = 0.000230091
Sample 523: No. iterations = 1, Error = 6.06713e-05
Sample 524: No. iterations = 90, Error = 0.000921475
Sample 525: No. iterations = 58, Error = 0.0006223
Sample 526: No. iterations = 80, Error = 0.00051174
Sample 527: No. iterations = 12, Error = 0.000752889
Sample 528: No. iterations = 183, Error = 0.000472992
Sample 529: No. iterations = 163, Error = 0.000507418
Sample 530: No. iterations = 70, Error = 0.000780211
Sample 531: No. iterations = 6, Error = 0.000619051
Sample 532: No. iterations = 119, Error = 0.000990347
Sample 533: No. iterations = 69, Error = 0.000663597
Sample 534: No. iterations = 140, Error = 0.000855866
Sample 535: No. iterations = 73, Error = 0.000699584
Sample 536: No. iterations = 16, Error = 0.000906294
Sample 537: No. iterations = 6, Error = 0.000418156
Sample 538: No. iterations = 61, Error = 0.000707513
Sample 539: No. iterations = 1, Error = 0.000192275
Sample 540: No. iterations = 114, Error = 0.000965329
Sample 541: No. iterations = 336, Error = 0.000928288
Sample 542: No. iterations = 104, Error = 0.000714256
Sample 543: No. iterations = 143, Error = 0.000459993
Sample 544: No. iterations = 101, Error = 0.00095313
Sample 545: No. iterations = 119, Error = 0.000738781
Sample 546: No. iterations = 76, Error = 0.00047894
Sample 547: No. iterations = 95, Error = 0.000668621
Sample 548: No. iterations = 111, Error = 0.000407701
Sample 549: No. iterations = 161, Error = 0.00083217
Sample 550: No. iterations = 22, Error = 0.000806994
Sample 551: No. iterations = 89, Error = 0.000809629
Sample 552: No. iterations = 39, Error = 0.000561515
Sample 553: No. iterations = 60, Error = 0.000512535
Sample 554: No. iterations = 1, Error = 0.000360028
Sample 555: No. iterations = 91, Error = 0.00067378
Sample 556: No. iterations = 1, Error = 0.000417235
Sample 557: No. iterations = 19, Error = 0.000398363
Sample 558: No. iterations = 49, Error = 0.000544459
Sample 559: No. iterations = 95, Error = 0.000740224
Sample 560: No. iterations = 88, Error = 0.000948798
